ID sách,Tên sách,Số sao đánh giá,Số người đánh giá,Số người review,Tóm tắt,Ảnh bìa,Tác giả
1,Trước Khi Nhắm Mắt,3.41,706 ratings,158 reviews,"Minae mở to mắt, cố nhìn xem chuyện gì đang diễn ra.  Khi ấy, “thứ đó” ở ngay trước mắt cô.  “Thứ đó” là bộ hãm xung của ô tô. Cái hãm xung đó đang cố nuốt trọn cơ thể cô... Xương sườn cô gãy răng rắc, dạ dày, nội tạng như đang vỡ tung. Mọi việc diễn biến như thước phim quay chậm. Minae hiểu ra cái ô tô đang cố nghiền nát mình. Sau lưng cô có một bức tường, cô đang bị kẹp giữa        ...more",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1521267289l/39303192._SX318_.jpg,"Keigo Higashino, Phương Chi (Translator)"
2,十一字殺人,3.39,821 ratings,190 reviews,Librarian Note: Alternate Cover Edition for ISBN-10: 9573324288 / ISBN-13: 9789573324287.  這十一個字，由地獄般的憎恨而生！而所有的謊言與藉口，也因這十一個字而逐漸顯現……  我的男友川津雅之被殺了！他先被毒死，接著後腦勺遭到重重一擊，最後被棄屍在港口。兇手到底有什麼深仇大恨，要這麼殘忍地殺害他呢？我想起不久前，他曾害怕地說自己『被人盯上了！』而且有人從他的遺物中偷走了某樣資料……身為推理小說家的我，決定自己來追查真相，沒想到我接觸過的人也一個接著一個被殺了！而他們死前，都收到了一張白紙，上面只有十一個字：『來自於無人島的滿滿殺意』……    ...more,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1383616746l/18753613.jpg,"Keigo Higashino, 東野圭吾, 羊恩媺 (Translator)"
4,夜明けの街で,3.39,206 ratings,33 reviews,不倫する奴なんて馬鹿だと思っていた。ところが僕はその台詞を自分に対して発しなければならなくなる―。建設会社に勤める渡部は、派遣社員の仲西秋葉と不倫の恋に墜ちた。2人の仲は急速に深まり、渡部は彼女が抱える複雑な事情を知ることになる。15年前、父親の愛人が殺される事件が起こり、秋葉はその容疑者とされているのだ。彼女は真犯人なのか?渡部の心は揺れ動く。まもなく事件は時効を迎えようとしていた…。,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1360326867l/9092163.jpg,"Keigo Higashino, 東野 圭吾"
5,冷酷的代課老師,3.27,48 ratings,4 reviews,同校教師陳屍體育館、學生跳樓自殺、中毒、前級任老師意外身亡——與其說「我」是個代課老師，倒不如說是柯南般的死神吧！  為了多點時間寫稿、成為推理小說家，「我」不得不放棄一般朝九晚五的全職工作，選擇當一名代課老師。單身，沒有家累的「我」，對代課老師這份工作抱持著「走出校門即下班」的心態，有些得過且過。反正學校並不在意像「我」這種來去匆匆的老師，也不必費心跟學生建立感情。  然而，這次代課的學校卻在「我」上任沒幾天後，發生了一起命案——中年女教師陳屍在體育館中，玻璃窗被打破，她的身邊還放著擺出「6X3」模樣的記分板。和同事們一起接受警方調查時，以推理小說家為志願的「我」，理所當然地開始主動分析這起案件……,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1481461021l/32504013.jpg,"Keigo Higashino, 東野圭吾, 王蘊潔 (Translator)"
7,魔球,3.50,70 ratings,5 reviews,開陽高中的黃金搭檔──天才投手須田武志和捕手北岡明雙雙被刺身亡，須田的黃金右臂甚至被整隻鋸下，下落不明。兇手的樣貌和殺機都成謎，兩起案件唯一共通的線索，便是北岡曾在紀念照寫下、並一同出現在須田屍體旁的「魔球」二字。隨著調查越發深入，高中生兇殺案的背後，竟隱藏著大企業不可告人的機密和一觸即發的炸彈危機！當「魔球」真實的樣貌越來越清晰，原本滿心以為會隨著死亡永遠沉睡的秘密，也將完完整整地攤在陽光底下……  當秘密不再是秘密，甲子園中央的身影，竟是旁人無法想像的孤獨與悲涼！,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1383802238l/16088019.jpg,"Keigo Higashino, 東野圭吾, 王蘊潔 (Translator)"
8,黒笑小説,3.60,114 ratings,7 reviews,,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1381250121l/3694054.jpg,"Keigo Higashino, 東野 圭吾"
9,히가시노 게이고의 무한도전,2.00,1 rating,1 review,,,"Keigo Higashino, 히가시노 게이고, 양윤옥 (Translator)"
